,number,values_0,values_1,datetime_start,datetime_complete,duration,params_lda1,params_psi_2,params_psi_3,params_rho,user_attrs_metrics,system_attrs_nsga2:generation,state
0,0,0.968993994343163,0.2749490000462988,2024-05-20 00:04:10.822353,2024-05-20 00:04:12.646843,0 days 00:00:01.824490,0.000877372498950624,0.01916388017647227,20.347202782661924,0.05334304217356509,"{'AUC_ROCs': [0.9704476070437702, 0.9737817290723961, 0.9627526469133226], 'S_relative_errors': [0.28124547035543485, 0.26328862712073364, 0.2803129026627278], 'X_relative_errors': [0.9999999966490696, 0.9999999876903187, 0.9999999746159637], 'Sparsity': [0.993869387755102, 0.9928081632653061, 0.9948244897959184], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [0.001991940982568105, 0.0021136442267881495, 0.001902980914584684], 'dual_residual': [0.001991940982568105, 0.0021136442267881495, 0.001902980914584684], 'times': [1.4926117619033903, 1.5205323670525104, 1.5335909591522068]}",0,COMPLETE
1,1,0.9592482386187761,0.23164000721427158,2024-05-20 00:04:12.648764,2024-05-20 00:04:14.373017,0 days 00:00:01.724253,0.00018926102635316897,0.01306412329681166,0.013476698756582872,4.053581704568539e-05,"{'AUC_ROCs': [0.9621114520464307, 0.9630948815724493, 0.9525383822374486], 'S_relative_errors': [0.2373369924313602, 0.22079749192559597, 0.23678553728585863], 'X_relative_errors': [0.9344954607950301, 0.9323801574526139, 0.9348665414290918], 'Sparsity': [0.18733061224489797, 0.17538775510204083, 0.20138775510204082], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [5.005083403343683, 4.854225536477174, 5.091412712938999], 'dual_residual': [5.005083403343683, 4.854225536477174, 5.091412712938999], 'times': [1.4111068884376436, 1.4418644902762026, 1.4640053333714604]}",0,COMPLETE
2,2,0.9508101134633286,inf,2024-05-20 00:04:14.375240,2024-05-20 00:04:16.229361,0 days 00:00:01.854121,0.4627502515616715,22.494591145790487,0.0033157188235551777,14.438570665173538,"{'AUC_ROCs': [0.9519840011629613, 0.9565156026859555, 0.9439307365410687], 'S_relative_errors': [inf, inf, inf], 'X_relative_errors': [inf, inf, inf], 'Sparsity': [1.0, 1.0, 1.0], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [inf, inf, inf], 'dual_residual': [inf, inf, inf], 'times': [1.594262330327183, 1.6247352636419237, 1.5953033342957497]}",0,COMPLETE
3,3,0.9696995062582365,4.1780446143685045e+64,2024-05-20 00:04:16.230242,2024-05-20 00:04:18.240345,0 days 00:00:02.010103,0.18345695780968835,0.004450517069542205,0.019875240289158633,3.7960518694886645,"{'AUC_ROCs': [0.9730422724379469, 0.9731250759826631, 0.9629311703540996], 'S_relative_errors': [4.2216172918438285e+64, 4.154946715768591e+64, 4.157569835493095e+64], 'X_relative_errors': [1.501043662554345e+65, 1.5780957358832318e+65, 1.4831887642243545e+65], 'Sparsity': [1.0, 1.0, 1.0], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [8.54817165056084e+66, 8.587191712552398e+66, 8.616639797569533e+66], 'dual_residual': [8.54817165056084e+66, 8.587191712552398e+66, 8.616639797569533e+66], 'times': [1.7664935253560543, 1.8385262286756188, 1.678188891382888]}",0,COMPLETE
4,4,0.9511599932344778,inf,2024-05-20 00:04:18.241846,2024-05-20 00:04:20.174226,0 days 00:00:01.932380,0.0027763472047087753,0.033588526288497345,42.031490781661816,30.15665060596103,"{'AUC_ROCs': [0.9556560171134549, 0.9564266929500164, 0.9413972696399618], 'S_relative_errors': [inf, inf, inf], 'X_relative_errors': [inf, inf, inf], 'Sparsity': [1.0, 1.0, 1.0], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [inf, inf, inf], 'dual_residual': [inf, inf, inf], 'times': [1.5925012370571494, 1.7053530064877123, 1.6080572693608701]}",0,COMPLETE
5,5,0.9684702886433408,0.274949003955149,2024-05-20 00:04:20.177553,2024-05-20 00:04:20.701830,0 days 00:00:00.524277,0.0005316311451149194,1.8985483486067902,0.029933767020366753,0.3535865026424447,"{'AUC_ROCs': [0.9723957771718366, 0.9740665707860969, 0.958948517972089], 'S_relative_errors': [0.2812454629725993, 0.2632886305017264, 0.2803129183911213], 'X_relative_errors': [0.999999980735127, 0.9999999820575106, 0.9999999533084103], 'Sparsity': [0.9967183673469387, 0.9963102040816326, 0.9969877551020409], 'converged': [1, 1, 1], 'iterations': [24, 24, 22], 'primal_residual': [0.0009411340793553191, 0.0009575411927899011, 0.0009316612620201102], 'dual_residual': [0.0009411340793553191, 0.0009575411927899011, 0.0009316612620201102], 'times': [0.24157168436795473, 0.24203374190256, 0.27044109534472227]}",0,COMPLETE
6,6,0.9487932639870573,inf,2024-05-20 00:04:20.703652,2024-05-20 00:04:22.545230,0 days 00:00:01.841578,1.1677628207261743,0.8631186685561024,8.038247014003348,20.507847520026054,"{'AUC_ROCs': [0.9511243300198856, 0.9509921182526969, 0.9442633436885897], 'S_relative_errors': [inf, inf, inf], 'X_relative_errors': [inf, inf, inf], 'Sparsity': [1.0, 1.0, 1.0], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [inf, inf, inf], 'dual_residual': [inf, inf, inf], 'times': [1.589096095180139, 1.6112971869297326, 1.6075294157490134]}",0,COMPLETE
7,7,0.9506997784256127,inf,2024-05-20 00:04:22.549315,2024-05-20 00:04:24.445227,0 days 00:00:01.895912,0.01697080264544322,0.33575365551580333,0.03920064465627878,96.7530179353966,"{'AUC_ROCs': [0.9548598551744268, 0.9530131856697688, 0.9442262944326426], 'S_relative_errors': [inf, inf, inf], 'X_relative_errors': [inf, inf, inf], 'Sparsity': [1.0, 1.0, 1.0], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [inf, inf, inf], 'dual_residual': [inf, inf, inf], 'times': [1.586711902404204, 1.5895855692215264, 1.6891452532727271]}",0,COMPLETE
8,8,0.9686851168242313,0.27494651973655954,2024-05-20 00:04:24.450646,2024-05-20 00:04:26.180419,0 days 00:00:01.729773,0.0008495611899090961,2.8644857184780936,3.686369953243499,0.0070860669960352415,"{'AUC_ROCs': [0.9711964070052925, 0.9721979403888633, 0.9626610030785383], 'S_relative_errors': [0.2812433048587774, 0.2632855284818233, 0.280310725869078], 'X_relative_errors': [0.999996542693597, 0.9999949225547394, 0.9999964920765045], 'Sparsity': [0.9602122448979592, 0.9478938775510204, 0.9583918367346939], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [0.03704499677703431, 0.042379153453664595, 0.0381832253744908], 'dual_residual': [0.03704499677703431, 0.042379153453664595, 0.0381832253744908], 'times': [1.4695354062132537, 1.4472279578913003, 1.456470265518874]}",0,COMPLETE
9,9,0.9263393491602673,0.14749410461523604,2024-05-20 00:04:26.182700,2024-05-20 00:04:27.829626,0 days 00:00:01.646926,0.00026714994690980485,0.18004716556614495,0.10924661768890674,2.5534268576613663e-05,"{'AUC_ROCs': [0.9322775355210743, 0.9310079242242554, 0.9157325877354722], 'S_relative_errors': [0.14780740514636936, 0.13163684241199855, 0.1630380662873402], 'X_relative_errors': [0.8200504924817957, 0.8123925176421655, 0.8356623763652765], 'Sparsity': [0.07071020408163266, 0.06707755102040816, 0.0733469387755102], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [8.1711597450526, 7.958612862316007, 8.034472486807672], 'dual_residual': [8.1711597450526, 7.958612862316007, 8.034472486807672], 'times': [1.410559790674597, 1.4217604559380561, 1.421905882190913]}",0,COMPLETE
