,number,values_0,values_1,datetime_start,datetime_complete,duration,params_lda1,params_ldag,params_psi_1,params_psi_2,params_psi_3,user_attrs_metrics,system_attrs_nsga2:generation,state
0,0,0.9993638484897924,0.17943735049404855,2024-05-20 04:18:58.049266,2024-05-20 04:19:00.625771,0 days 00:00:02.576505,2.6378394655620827,0.06629799360965506,0.019460516612969155,78.41579293740796,17.286807976417045,"{'AUC_ROCs': [0.9990757443590457, 0.9995118324352172, 0.9995039686751144], 'S_relative_errors': [0.19114700232299042, 0.1832904915152152, 0.16387455764394002], 'X_relative_errors': [0.9991074108645321, 0.9991685211478184, 0.9991145616779216], 'Sparsity': [1.0, 1.0, 1.0], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [array(0.008643), array(0.00921034), array(0.01167305)], 'dual_residual': [array(0.00471617), array(0.00618284), array(0.00894357)], 'times': [2.256879521533847, 2.1634395548608154, 2.3132773207034916]}",0,COMPLETE
1,1,0.9966375145265705,0.15717232170501183,2024-05-20 04:19:00.628097,2024-05-20 04:19:03.080753,0 days 00:00:02.452656,0.0003327200541780436,1.5251401920824735e-05,0.010217446456148738,23.83318425097654,0.9217142031041802,"{'AUC_ROCs': [0.9981836983933875, 0.99500578941622, 0.9967230557701037], 'S_relative_errors': [0.1683545234840318, 0.15411366151643274, 0.14904878011457096], 'X_relative_errors': [0.9997636446894271, 0.9997206414349209, 0.9998460676995319], 'Sparsity': [1.0, 1.0, 1.0], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [array(0.01619783), array(0.01812017), array(0.02708919)], 'dual_residual': [array(0.00745465), array(0.00866087), array(0.0095205)], 'times': [2.1876638752873987, 2.1684254431165755, 2.1736190842930228]}",0,COMPLETE
2,2,0.982517477547504,1.0000000720364524,2024-05-20 04:19:03.083794,2024-05-20 04:19:03.927398,0 days 00:00:00.843604,1.4427605152092857,0.9898814015768137,0.4810677571930135,0.8334332524354408,0.12461374899009765,"{'AUC_ROCs': [0.984857037997747, 0.9798883456745251, 0.9828070489702398], 'S_relative_errors': [1.0000000687563229, 1.0000000694539022, 1.000000077899132], 'X_relative_errors': [5.787619574760154, 6.330353425990442, 6.567223159624487], 'Sparsity': [1.0, 1.0, 1.0], 'converged': [1, 1, 1], 'iterations': [37, 37, 37], 'primal_residual': [array(0.00035737), array(0.00051758), array(0.00062419)], 'dual_residual': [array(1.86721045e-05), array(2.24233114e-05), array(2.66771612e-05)], 'times': [0.5661033184733242, 0.5717787076719105, 0.5682531122583896]}",0,COMPLETE
3,3,0.9968375981646083,1.0000001331855604,2024-05-20 04:19:03.930036,2024-05-20 04:19:04.660510,0 days 00:00:00.730474,3.0241311203529126,0.0001624696010864385,0.02982498592082507,0.00538741582125242,0.0020958533941471407,"{'AUC_ROCs': [0.9986994309767496, 0.9955456017132173, 0.9962677618038579], 'S_relative_errors': [1.0000001246337415, 1.0000001389105342, 1.0000001360124053], 'X_relative_errors': [5.933812200075877, 6.482013328086122, 6.703757368898689], 'Sparsity': [1.0, 1.0, 1.0], 'converged': [1, 1, 1], 'iterations': [31, 31, 31], 'primal_residual': [array(0.00038536), array(0.00044312), array(0.00047844)], 'dual_residual': [array(1.83008159e-06), array(1.16269668e-06), array(1.5252566e-06)], 'times': [0.4949487866833806, 0.4822541447356343, 0.4816503182519227]}",0,COMPLETE
4,4,0.9966296962955018,0.15667270839275502,2024-05-20 04:19:04.663781,2024-05-20 04:19:07.117105,0 days 00:00:02.453324,0.004871817861852726,0.00012385381656425027,86.3052559504158,2.4817685764811395,14.76934755749839,"{'AUC_ROCs': [0.9982366022420047, 0.9962544837634949, 0.9953980028810059], 'S_relative_errors': [0.16782452045055762, 0.15362654304844606, 0.1485670616792614], 'X_relative_errors': [1.0000876622316477, 1.0001049243696905, 1.0001022370528145], 'Sparsity': [1.0, 1.0, 1.0], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [array(0.00187776), array(0.00207505), array(0.00232036)], 'dual_residual': [array(0.0011401), array(0.00113945), array(0.00122772)], 'times': [2.128998468397185, 2.118162340950221, 2.1677453925367445]}",0,COMPLETE
5,5,0.9971079430891838,0.15656821278914,2024-05-20 04:19:07.126987,2024-05-20 04:19:09.573099,0 days 00:00:02.446112,0.006173676403879574,6.118684564210897e-05,24.367738693430926,61.74416242147946,0.6759495658372262,"{'AUC_ROCs': [0.9985495459585985, 0.9963459308248362, 0.996428352484117], 'S_relative_errors': [0.16770679218128956, 0.1535199383332505, 0.14847790785287984], 'X_relative_errors': [1.0000902868152752, 1.0000938009230296, 1.00008695206512], 'Sparsity': [1.0, 1.0, 1.0], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [array(0.0034091), array(0.0033886), array(0.00356814)], 'dual_residual': [array(0.00079074), array(0.00084133), array(0.00091434)], 'times': [2.1317229548003525, 2.1018173394259065, 2.161427133018151]}",0,COMPLETE
6,6,0.9974060923203699,0.21795780898295494,2024-05-20 04:19:09.577888,2024-05-20 04:19:12.038425,0 days 00:00:02.460537,0.0021256915909091934,1.157461334812519,62.06969208188113,21.34272596404635,0.014938801415181597,"{'AUC_ROCs': [0.998043337444181, 0.9967846825977144, 0.9973902569192145], 'S_relative_errors': [0.2381726372715903, 0.21545707311029844, 0.20024371656697615], 'X_relative_errors': [0.9974902568280167, 0.9954778731498195, 0.9958420422359177], 'Sparsity': [1.0, 1.0, 1.0], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [array(0.13160962), array(0.1505095), array(0.15362173)], 'dual_residual': [array(0.00665558), array(0.00707599), array(0.00904715)], 'times': [2.1331947091966867, 2.171820198185742, 2.1805094277951866]}",0,COMPLETE
7,7,0.9848765124271092,0.6407301906883491,2024-05-20 04:19:12.044141,2024-05-20 04:19:14.624320,0 days 00:00:02.580179,0.2227141446930703,1.7154227437870546,1.006213177006233,2.315058863422712,0.2024682700120604,"{'AUC_ROCs': [0.9811611541666384, 0.9851539510425623, 0.9883144320721269], 'S_relative_errors': [0.6892088898815714, 0.6529599505048359, 0.5800217316786401], 'X_relative_errors': [3.7192121767385182, 3.840662468284559, 3.5314677071256244], 'Sparsity': [1.0, 1.0, 1.0], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [array(0.00209186), array(0.001019), array(0.00220745)], 'dual_residual': [array(7.5866461e-05), array(0.00010794), array(0.00012679)], 'times': [2.2851246339268982, 2.2854992190841585, 2.2996795903891325]}",0,COMPLETE
8,8,0.9973492846829247,0.999999729028132,2024-05-20 04:19:14.631863,2024-05-20 04:19:15.375356,0 days 00:00:00.743493,1.920548572038062,0.00013936762891543378,0.6167488945521497,0.02817847380724814,0.242409442081881,"{'AUC_ROCs': [0.9982652756395415, 0.997059123806207, 0.9967234546030255], 'S_relative_errors': [0.9999997183104896, 0.9999997256160252, 0.9999997431578808], 'X_relative_errors': [5.861669652474172, 6.408732809355422, 6.639872219383778], 'Sparsity': [1.0, 1.0, 1.0], 'converged': [1, 1, 1], 'iterations': [31, 31, 31], 'primal_residual': [array(0.00089808), array(0.00091198), array(0.00094552)], 'dual_residual': [array(3.23403662e-05), array(3.25386924e-05), array(3.27886801e-05)], 'times': [0.4741409921552986, 0.47836854425258934, 0.47840142203494906]}",0,COMPLETE
9,9,0.9976913453292807,0.10880592292377773,2024-05-20 04:19:15.381461,2024-05-20 04:19:17.796659,0 days 00:00:02.415198,0.6638761605151776,4.934796108850409e-05,38.33229176143946,14.363269512941933,0.07913601343679655,"{'AUC_ROCs': [0.9984199274143979, 0.9977728329632278, 0.9968812756102163], 'S_relative_errors': [0.11598674635864523, 0.1078544546391062, 0.10257656777358178], 'X_relative_errors': [0.9997967627981394, 0.9997919905547564, 0.9998266356358546], 'Sparsity': [1.0, 1.0, 1.0], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [array(0.00658693), array(0.00680515), array(0.00697575)], 'dual_residual': [array(0.00220518), array(0.00250554), array(0.00316015)], 'times': [2.115212323376909, 2.129517307272181, 2.13368452177383]}",0,COMPLETE
