,number,values_0,values_1,datetime_start,datetime_complete,duration,params_lda1,params_ldag,params_psi_1,params_psi_2,params_psi_3,user_attrs_metrics,system_attrs_nsga2:generation,state
0,0,0.9971432186658152,0.8885230598608439,2024-05-20 03:59:23.602689,2024-05-20 03:59:26.284309,0 days 00:00:02.681620,0.0009493187328941702,2.1434248435616814e-05,0.002844915424272153,0.0034053725168584925,0.010763228582021882,"{'AUC_ROCs': [0.9987701794684979, 0.996028514906244, 0.9966309616227039], 'S_relative_errors': [0.8857420009355345, 0.8876672133754501, 0.8921599652715473], 'X_relative_errors': [5.257044313077748, 5.754993211469947, 5.981534754212893], 'Sparsity': [1.0, 1.0, 1.0], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [array(0.00148336), array(0.00147262), array(0.00151864)], 'dual_residual': [array(0.00254951), array(0.00250377), array(0.00234034)], 'times': [2.2539844426792115, 2.3025455048773438, 2.302856016671285]}",0,COMPLETE
1,1,0.9943540558917064,1.0000000701672382,2024-05-20 03:59:26.285988,2024-05-20 03:59:27.123962,0 days 00:00:00.837974,4.577848031976358,3.7371915138071294,0.028721483719649308,0.004231168772096843,0.003898884514425342,"{'AUC_ROCs': [0.9949729686644734, 0.9937807230711014, 0.9943084759395444], 'S_relative_errors': [1.0000000624692031, 1.0000000713664086, 1.0000000766661026], 'X_relative_errors': [5.93381302886921, 6.4820036697691945, 6.70374347216814], 'Sparsity': [1.0, 1.0, 1.0], 'converged': [1, 1, 1], 'iterations': [31, 31, 31], 'primal_residual': [array(0.00021493), array(0.00025727), array(0.00029052)], 'dual_residual': [array(4.17254363e-06), array(3.97257234e-06), array(4.5887409e-06)], 'times': [0.5009306415449828, 0.4817960502114147, 0.4860598959494382]}",0,COMPLETE
2,2,0.6435938168221361,0.9995685551933201,2024-05-20 03:59:27.126026,2024-05-20 03:59:29.874169,0 days 00:00:02.748143,5.06726989435912,0.040563121993542665,0.4111794049172732,0.5423536436635319,25.01639827609345,"{'AUC_ROCs': [0.6530511841692904, 0.646017973562165, 0.6317122927349529], 'S_relative_errors': [0.9996094128724392, 0.9991915447701346, 0.9999047079373862], 'X_relative_errors': [3.087390981392664, 3.4886623305078532, 3.9120041645832937], 'Sparsity': [1.0, 1.0, 1.0], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [array(0.01435475), array(0.01583165), array(0.01462413)], 'dual_residual': [array(0.03137973), array(0.00079831), array(0.00085346)], 'times': [2.236406268319115, 2.39156706049107, 2.268184673972428]}",0,COMPLETE
3,3,0.98401298362871,0.6270889963348604,2024-05-20 03:59:29.876772,2024-05-20 03:59:31.870745,0 days 00:00:01.993973,0.00886650307563395,14.998325985738864,0.04014166933065742,0.511307657424699,3.0100265610884906,"{'AUC_ROCs': [0.9808496453342099, 0.9837924389741088, 0.9873968665778114], 'S_relative_errors': [0.675033078947205, 0.6394071594377254, 0.5668267506196508], 'X_relative_errors': [3.5769496438702357, 3.6940661310162106, 3.377991833770103], 'Sparsity': [1.0, 1.0, 1.0], 'converged': [1, 1, 1], 'iterations': [97, 97, 102], 'primal_residual': [array(0.00092461), array(0.00092804), array(0.00094493)], 'dual_residual': [array(0.00022568), array(0.00021007), array(0.00018208)], 'times': [1.5322231510654092, 1.477632821071893, 1.6262045223265886]}",0,COMPLETE
4,4,0.8461603583033832,0.9999999999996624,2024-05-20 03:59:31.874577,2024-05-20 03:59:34.498474,0 days 00:00:02.623897,12.642795825721945,0.0001060344960740744,4.720785142158569,0.1272041992905918,1.081781519405944,"{'AUC_ROCs': [0.8428839225622308, 0.815530794486102, 0.880066357861817], 'S_relative_errors': [0.9999999999996582, 0.9999999999996533, 0.9999999999996756], 'X_relative_errors': [5.4890675919681735, 6.0340456716038275, 6.319477707477567], 'Sparsity': [1.0, 1.0, 1.0], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [array(0.00157485), array(0.00163001), array(0.00169721)], 'dual_residual': [array(4.37837601e-05), array(4.53462982e-05), array(4.72546207e-05)], 'times': [2.223033242393285, 2.370169822825119, 2.3270189985632896]}",0,COMPLETE
5,5,0.9975643404892179,0.0925904665516208,2024-05-20 03:59:34.502048,2024-05-20 03:59:37.017848,0 days 00:00:02.515800,0.013748971787608737,0.1761505721782074,1.8477636436635199,3.6049973255232675,6.519429652936881,"{'AUC_ROCs': [0.9980827060243956, 0.9967520462190691, 0.9978582692241892], 'S_relative_errors': [0.1039544931697965, 0.07998430107037942, 0.09383260541468648], 'X_relative_errors': [0.8144041402801484, 0.7458331560174538, 0.8066019214493425], 'Sparsity': [1.0, 1.0, 1.0], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [array(0.05470137), array(0.05542181), array(0.05932601)], 'dual_residual': [array(0.003239), array(0.00341416), array(0.0033796)], 'times': [2.0994573389180005, 2.1114866863936186, 2.252556936116889]}",0,COMPLETE
6,6,0.9969044535072286,0.10250761286779153,2024-05-20 03:59:37.023171,2024-05-20 03:59:39.589188,0 days 00:00:02.566017,0.11699397682071314,0.0004062751067826483,79.59500711071159,0.0032734969177197126,0.16699133123936322,"{'AUC_ROCs': [0.998199787715128, 0.9966139791114531, 0.9958995936951045], 'S_relative_errors': [0.11089857225850247, 0.0988702806388804, 0.0977539857059917], 'X_relative_errors': [0.9988788938318868, 0.9990414644933242, 0.9995581200927673], 'Sparsity': [1.0, 1.0, 1.0], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [array(0.05665271), array(0.05309214), array(0.07080946)], 'dual_residual': [array(0.03073342), array(0.03572672), array(0.0429812)], 'times': [2.288592600496486, 2.2118346341885626, 2.178585075074807]}",0,COMPLETE
7,7,0.9858826372916117,0.5962335508758875,2024-05-20 03:59:39.594485,2024-05-20 03:59:42.141361,0 days 00:00:02.546876,0.0009360918943525533,0.8234460756871104,7.610758124829104,0.060706516299468695,0.0033222376263503262,"{'AUC_ROCs': [0.9838309332398507, 0.9854109892284564, 0.9884059894065282], 'S_relative_errors': [0.6329757636821939, 0.6032021690176508, 0.5525227199278178], 'X_relative_errors': [3.369502323154261, 3.528515569111089, 3.3545678292074834], 'Sparsity': [1.0, 1.0, 1.0], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [array(0.13640559), array(0.13125803), array(0.14135829)], 'dual_residual': [array(0.02074712), array(0.02042552), array(0.02201859)], 'times': [2.308326170546934, 2.228157207602635, 2.226610330166295]}",0,COMPLETE
8,8,0.9962734113381203,0.15665307496684952,2024-05-20 03:59:42.147345,2024-05-20 03:59:44.722720,0 days 00:00:02.575375,0.0007795835170647709,0.00010999478578802664,0.01699851710250495,0.12301957917534431,1.4761780762384968,"{'AUC_ROCs': [0.99830776359182, 0.9938992125500883, 0.9966132578724524], 'S_relative_errors': [0.16779161493251435, 0.15359642936337553, 0.1485711806046587], 'X_relative_errors': [0.9999972308302019, 1.000004858951919, 0.9999908882349224], 'Sparsity': [1.0, 1.0, 1.0], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [array(0.00626058), array(0.00702821), array(0.0097176)], 'dual_residual': [array(0.00176736), array(0.0021223), array(0.00320886)], 'times': [2.1424840118270367, 2.1730104475282133, 2.234648321289569]}",0,COMPLETE
9,9,0.9841787943279053,0.6292015944264794,2024-05-20 03:59:44.728272,2024-05-20 03:59:47.220140,0 days 00:00:02.491868,0.006418155763481803,40.82626256779317,1.194562920382072,53.20561055962989,0.003399624360714066,"{'AUC_ROCs': [0.9810577602049674, 0.9839739031173571, 0.9875047196613919], 'S_relative_errors': [0.676243746888103, 0.6395873929641843, 0.571773643427151], 'X_relative_errors': [0.9975750145344118, 0.9973956565942749, 0.9980781603597165], 'Sparsity': [1.0, 1.0, 1.0], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [array(0.09389999), array(0.08921046), array(0.10946184)], 'dual_residual': [array(0.00739299), array(0.00559573), array(0.00536577)], 'times': [2.2396455991547555, 2.1637404959183186, 2.1691140250768512]}",0,COMPLETE
