,number,values_0,values_1,datetime_start,datetime_complete,duration,params_lda1,params_ldag,params_psi_1,params_psi_2,params_psi_3,user_attrs_metrics,system_attrs_nsga2:generation,state
0,0,0.9951543245751634,0.10168989148084062,2024-05-20 06:44:52.517914,2024-05-20 06:44:55.039873,0 days 00:00:02.521959,0.0005403039972701998,0.007284361739952315,20.55593801875372,0.013888601100512956,0.16702945331753694,"{'AUC_ROCs': [0.9973571177243985, 0.9949673614930697, 0.9931384945080216], 'S_relative_errors': [0.10149932078082272, 0.0975592992658265, 0.10601105439587269], 'X_relative_errors': [0.998998446847421, 0.9988957104234256, 0.9989900296371496], 'Sparsity': [1.0, 1.0, 1.0], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [array(0.02534731), array(0.02517361), array(0.02249375)], 'dual_residual': [array(0.00855188), array(0.00850613), array(0.0087082)], 'times': [2.1759005731437355, 2.1494225906208158, 2.2474019650835544]}",0,COMPLETE
1,1,0.9790043725760031,0.5350277311324826,2024-05-20 06:44:55.041466,2024-05-20 06:44:57.585677,0 days 00:00:02.544211,0.001372503071696556,1.0420045791379804,6.120711562175665,0.0020737113478590634,0.0024578641952145578,"{'AUC_ROCs': [0.9790860296696445, 0.979620706377297, 0.9783063816810681], 'S_relative_errors': [0.532975461089453, 0.5334087772223995, 0.538698955085595], 'X_relative_errors': [4.691199190326197, 4.868224675234323, 4.528647512683033], 'Sparsity': [1.0, 1.0, 1.0], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [array(0.37196598), array(0.18576716), array(0.18017389)], 'dual_residual': [array(0.03304096), array(0.03559079), array(0.03229408)], 'times': [2.2526115670334548, 2.2427472011186182, 2.2534794805105776]}",0,COMPLETE
2,2,0.9949559163920637,0.10167552659171585,2024-05-20 06:44:57.587372,2024-05-20 06:45:00.037999,0 days 00:00:02.450627,0.009854584404814926,2.2658354750034814e-05,1.0682069900816475,0.691850549083004,0.540891274646093,"{'AUC_ROCs': [0.9964615376296778, 0.9951412541164056, 0.9932649574301077], 'S_relative_errors': [0.1014003892112334, 0.0976321443563494, 0.10599404620756474], 'X_relative_errors': [1.0000091862411173, 0.9999994791644363, 1.000021953727206], 'Sparsity': [1.0, 1.0, 1.0], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [array(0.01088256), array(0.01102226), array(0.01074721)], 'dual_residual': [array(0.00463632), array(0.00452199), array(0.00398799)], 'times': [2.127048975555226, 2.121741394745186, 2.136503421701491]}",0,COMPLETE
3,3,0.9921203638520414,0.637274626314543,2024-05-20 06:45:00.041433,2024-05-20 06:45:02.902686,0 days 00:00:02.861253,0.0010110557276767746,0.00011417938562889982,0.006104499642173003,0.0017100109891132853,0.18371347303321142,"{'AUC_ROCs': [0.9930786065445437, 0.9931828789717277, 0.9900996060398527], 'S_relative_errors': [0.6399910723238353, 0.6383811218739027, 0.6334516847458912], 'X_relative_errors': [6.0724636950951805, 6.28371919998663, 5.742032364763054], 'Sparsity': [1.0, 1.0, 1.0], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [array(0.00228385), array(0.00316088), array(0.00282974)], 'dual_residual': [array(0.06363327), array(0.06349506), array(0.06350559)], 'times': [2.243832048494369, 2.584143239306286, 2.258484244113788]}",0,COMPLETE
4,4,0.9948693670189074,0.08224007223703689,2024-05-20 06:45:02.906058,2024-05-20 06:45:05.369201,0 days 00:00:02.463143,0.2616649252706153,0.0007811689413597332,60.37269588495636,0.2618570557035114,7.4911842526835075,"{'AUC_ROCs': [0.9964512206170195, 0.9952223133091398, 0.9929345671305628], 'S_relative_errors': [0.08090082704994968, 0.08144694985679936, 0.08437243980436163], 'X_relative_errors': [0.9970314104971467, 0.9972012360203342, 0.9979948411323961], 'Sparsity': [1.0, 1.0, 1.0], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [array(0.01550144), array(0.01478686), array(0.01192748)], 'dual_residual': [array(0.00136407), array(0.00139543), array(0.00117615)], 'times': [2.1182965871412307, 2.138591932365671, 2.131947171408683]}",0,COMPLETE
5,5,0.9686230567384827,0.7305761631008073,2024-05-20 06:45:05.373732,2024-05-20 06:45:07.903441,0 days 00:00:02.529709,2.2467125122221736,8.21565093405266e-05,0.0032713390863752336,15.575484950322778,32.78263776949612,"{'AUC_ROCs': [0.9824480936035132, 0.9556502917813707, 0.9677707848305641], 'S_relative_errors': [0.7080507218749431, 0.7494291571036827, 0.7342486103237961], 'X_relative_errors': [2.342671607256446, 2.8034571018581014, 2.3844568855663004], 'Sparsity': [1.0, 1.0, 1.0], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [array(0.16019214), array(0.16291051), array(0.15531857)], 'dual_residual': [array(0.00950337), array(0.00865081), array(0.00917551)], 'times': [2.244505105074495, 2.2448753549251705, 2.242997407214716]}",0,COMPLETE
6,6,0.9794309582502411,0.52986729080456,2024-05-20 06:45:07.907739,2024-05-20 06:45:10.515411,0 days 00:00:02.607672,0.00020895553619869372,1.9058312465861773,0.07324427951015917,14.738321950223481,0.28613423920931513,"{'AUC_ROCs': [0.9797738570771986, 0.9796758186276362, 0.9788431990458886], 'S_relative_errors': [0.5261087797190312, 0.5299423893068873, 0.5335507033877613], 'X_relative_errors': [3.2075017999161073, 3.3358084206245926, 3.0903095798436455], 'Sparsity': [1.0, 1.0, 1.0], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [array(0.05942311), array(0.04322882), array(0.04945266)], 'dual_residual': [array(0.00604256), array(0.00519862), array(0.00553112)], 'times': [2.2710673508699983, 2.2295161224901676, 2.2815778427757323]}",0,COMPLETE
7,7,0.9953434255445984,0.0959233605671256,2024-05-20 06:45:10.521217,2024-05-20 06:45:12.959725,0 days 00:00:02.438508,0.0002995763548612406,0.019034078027124268,1.1240839359629922,0.048479146338720525,71.47864926242761,"{'AUC_ROCs': [0.9964960075611214, 0.9958293924537579, 0.993704876618916], 'S_relative_errors': [0.09530390321942427, 0.09215576489095645, 0.10031041359099607], 'X_relative_errors': [1.0002061403656397, 1.0003804083487084, 1.0001318875907224], 'Sparsity': [1.0, 1.0, 1.0], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [array(0.09367832), array(0.09176647), array(0.08785688)], 'dual_residual': [array(0.01846469), array(0.0166743), array(0.01366596)], 'times': [2.1262948147486895, 2.1316941608674824, 2.1753760050050914]}",0,COMPLETE
8,8,0.9949851918247177,0.09826658149453771,2024-05-20 06:45:12.963502,2024-05-20 06:45:15.455268,0 days 00:00:02.491766,0.01801839190917041,0.0006654455220710089,44.39312138330535,26.705839296079322,0.001298261513831885,"{'AUC_ROCs': [0.9966448549112585, 0.995035229993884, 0.9932754905690103], 'S_relative_errors': [0.0977789383842166, 0.0945422780575103, 0.10247852804188626], 'X_relative_errors': [1.0003187340242587, 0.9999692381723777, 0.9999664347952674], 'Sparsity': [1.0, 1.0, 1.0], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [array(0.01272964), array(0.00425554), array(0.00441252)], 'dual_residual': [array(0.01239845), array(0.00454676), array(0.0044566)], 'times': [2.119110690196976, 2.20103114657104, 2.135335309896618]}",0,COMPLETE
9,9,0.9792718857295301,0.5347527876769272,2024-05-20 06:45:15.461660,2024-05-20 06:45:18.014841,0 days 00:00:02.553181,0.004107095652546136,4.9337431878355025,19.368552063116145,0.27556154695877794,0.003947762969719607,"{'AUC_ROCs': [0.9797511023193977, 0.9795533140126436, 0.9785112408565488], 'S_relative_errors': [0.5319886492200506, 0.5337899187468078, 0.5384797950639235], 'X_relative_errors': [4.044799311619861, 4.211017979864387, 3.9169707276620054], 'Sparsity': [1.0, 1.0, 1.0], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [array(0.05670488), array(0.05891152), array(0.05756828)], 'dual_residual': [array(0.01005122), array(0.01045432), array(0.0104161)], 'times': [2.212380906334147, 2.2483677675481886, 2.227782843867317]}",0,COMPLETE
