,number,values_0,values_1,datetime_start,datetime_complete,duration,params_lda1,params_ldag,params_psi_1,params_psi_2,params_psi_3,user_attrs_metrics,system_attrs_nsga2:generation,state
0,0,0.9901574215113679,0.9999999812168285,2024-05-20 08:57:35.459759,2024-05-20 08:57:36.360078,0 days 00:00:00.900319,2.0771100262283353,5.1653434853888346e-05,0.0043711359046468175,1.8281677392711264,0.06307046365124361,"{'AUC_ROCs': [0.9976215060744205, 0.9982586953688345, 0.9745920630908483], 'S_relative_errors': [1.0000001973047108, 0.9999998144134952, 0.9999999319322797], 'X_relative_errors': [6.248951020667188, 6.5092492164914475, 6.1846508208948805], 'Sparsity': [1.0, 1.0, 1.0], 'converged': [1, 1, 1], 'iterations': [39, 35, 36], 'primal_residual': [array(0.00066119), array(0.00065482), array(0.00029634)], 'dual_residual': [array(3.93635764e-05), array(9.21144095e-06), array(1.09690675e-05)], 'times': [0.6461521442979574, 0.5299825193360448, 0.5399999024812132]}",0,COMPLETE
1,1,0.9816493956990032,0.9999998260802627,2024-05-20 08:57:36.360814,2024-05-20 08:57:37.192469,0 days 00:00:00.831655,1.555875326050933,0.09699569003043847,0.06846502167898456,0.41494833446870943,0.7387871532362928,"{'AUC_ROCs': [0.9543228641309055, 0.9956078920090533, 0.9950174309570509], 'S_relative_errors': [0.9999997909196535, 0.9999998429963294, 0.9999998443248055], 'X_relative_errors': [6.3370760513231135, 6.6016663806625075, 6.270443060688146], 'Sparsity': [1.0, 1.0, 1.0], 'converged': [1, 1, 1], 'iterations': [35, 31, 31], 'primal_residual': [array(0.00098965), array(0.00063156), array(0.00063554)], 'dual_residual': [array(2.486269e-05), array(2.09871285e-05), array(2.10836434e-05)], 'times': [0.574173237895593, 0.470518559217453, 0.4681777630466968]}",0,COMPLETE
2,2,0.8210564758360723,0.9883316936120905,2024-05-20 08:57:37.193370,2024-05-20 08:57:39.883077,0 days 00:00:02.689707,0.7019140103820792,0.009193569207551225,0.0032533741780664213,1.7320422023371052,0.0025226713739318323,"{'AUC_ROCs': [0.8205908259911907, 0.8133650216270139, 0.8292135798900127], 'S_relative_errors': [0.9855901402672037, 0.9923584947752484, 0.9870464457938196], 'X_relative_errors': [6.175312487723424, 6.477060181012421, 6.087292431318434], 'Sparsity': [1.0, 1.0, 1.0], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [array(0.00316846), array(0.00182931), array(0.00186727)], 'dual_residual': [array(0.00129741), array(0.0005157), array(0.00106243)], 'times': [2.43517986102961, 2.257854899391532, 2.2932321911212057]}",0,COMPLETE
3,3,0.9597214235223177,0.7934295381195638,2024-05-20 08:57:39.884393,2024-05-20 08:57:42.513667,0 days 00:00:02.629274,0.0005129188151204271,3.7560488946036266,69.98201093672394,4.270986277695209,0.6526184110330727,"{'AUC_ROCs': [0.96229905169711, 0.9566835409748702, 0.960181677894973], 'S_relative_errors': [0.7858233127837838, 0.8036777287274085, 0.7907875728474995], 'X_relative_errors': [1.1217245024063205, 1.1729157111281108, 1.1756002616301686], 'Sparsity': [1.0, 1.0, 1.0], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [array(0.4931165), array(0.4165474), array(0.45644102)], 'dual_residual': [array(0.02493543), array(0.0302256), array(0.02139832)], 'times': [2.3876114517915994, 2.19447311013937, 2.2028820377308875]}",0,COMPLETE
4,4,0.9983875951808944,0.15236189405962475,2024-05-20 08:57:42.517852,2024-05-20 08:57:45.088670,0 days 00:00:02.570818,0.0010076807543781504,0.00016627828590382753,0.34813558119096244,37.20530868709897,0.22431690984564095,"{'AUC_ROCs': [0.9979315842403925, 0.9983582982349033, 0.9988729030673871], 'S_relative_errors': [0.1538051723651323, 0.14761581277618147, 0.15566469703756045], 'X_relative_errors': [0.9999802789202322, 0.9999914749732622, 0.9999676837600898], 'Sparsity': [1.0, 1.0, 1.0], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [array(0.00792428), array(0.00784653), array(0.0079438)], 'dual_residual': [array(0.00410859), array(0.00397072), array(0.00425632)], 'times': [2.3092714964877814, 2.19811445963569, 2.1397970898542553]}",0,COMPLETE
5,5,0.9976327210897095,0.514290350015441,2024-05-20 08:57:45.090395,2024-05-20 08:57:47.808479,0 days 00:00:02.718084,6.5280326739977745,1.3874329617358867e-05,74.23610147223758,0.13262039010815987,0.019604422785120628,"{'AUC_ROCs': [0.9975752534623907, 0.9975035630414216, 0.9978193467653157], 'S_relative_errors': [0.5073780444226043, 0.521222498370998, 0.5142705072527208], 'X_relative_errors': [1.0308819158652336, 1.0689587678662387, 1.0798517843876816], 'Sparsity': [1.0, 1.0, 1.0], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [array(0.0389439), array(0.0352345), array(0.03993728)], 'dual_residual': [array(0.01249459), array(0.02259767), array(0.023245)], 'times': [2.4579385647084564, 2.2621749623212963, 2.278607418993488]}",0,COMPLETE
6,6,0.998345684018248,0.15245289359467543,2024-05-20 08:57:47.809868,2024-05-20 08:57:50.351285,0 days 00:00:02.541417,0.00026936226219441645,9.221870983252741e-05,0.004696479162759974,1.3267398953324665,0.8045596232983815,"{'AUC_ROCs': [0.9985090437148121, 0.9982138945874807, 0.9983141137524512], 'S_relative_errors': [0.15396422797155535, 0.1477581723381128, 0.15563628047435815], 'X_relative_errors': [1.0000859921817822, 1.0000913616804052, 1.0001106616072069], 'Sparsity': [1.0, 1.0, 1.0], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [array(0.00789376), array(0.00801503), array(0.00794513)], 'dual_residual': [array(0.00181164), array(0.00175825), array(0.00185892)], 'times': [2.2937112590298057, 2.145154013996944, 2.159804144175723]}",0,COMPLETE
7,7,0.9458955640904637,0.8412651027720383,2024-05-20 08:57:50.352934,2024-05-20 08:57:53.027452,0 days 00:00:02.674518,0.00015417056317021708,1.632689305238032,0.0756302088106017,0.6054305768594317,0.008240550108443524,"{'AUC_ROCs': [0.9458514164958975, 0.946553443462548, 0.9452818323129457], 'S_relative_errors': [0.8404920493610456, 0.8400315019883452, 0.8432717569667237], 'X_relative_errors': [5.370533077181014, 5.592024060563149, 5.332014037923468], 'Sparsity': [1.0, 1.0, 1.0], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [array(0.00736405), array(0.00670937), array(0.01090603)], 'dual_residual': [array(0.02292526), array(0.02265807), array(0.02305022)], 'times': [2.414497019024566, 2.228924319613725, 2.25346755143255]}",0,COMPLETE
8,8,0.9149962323545427,0.8904775278385427,2024-05-20 08:57:53.032004,2024-05-20 08:57:55.706689,0 days 00:00:02.674685,0.47149943880395145,0.10610193043493563,3.0229648835718086,0.008276562329506928,0.052539290049986725,"{'AUC_ROCs': [0.9238132810288334, 0.9064753635986867, 0.9147000524361083], 'S_relative_errors': [0.8887309282003992, 0.8992760836960907, 0.8834255716191383], 'X_relative_errors': [5.508762932460422, 5.806497528327316, 5.423734616789769], 'Sparsity': [1.0, 1.0, 1.0], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [array(0.01058579), array(0.01279652), array(0.01156612)], 'dual_residual': [array(0.0011897), array(0.00212924), array(0.00103573)], 'times': [2.421774882823229, 2.2582719458732754, 2.2562466114759445]}",0,COMPLETE
9,9,0.999594264942572,0.17526725644170227,2024-05-20 08:57:55.712682,2024-05-20 08:57:58.214441,0 days 00:00:02.501759,2.0367831476999174,0.058852574678365605,0.15486216544962916,19.340698944497742,71.48346231319219,"{'AUC_ROCs': [0.9997245958466795, 0.9994562687527202, 0.9996019302283163], 'S_relative_errors': [0.1759024595053557, 0.1760422430907677, 0.1738570667289834], 'X_relative_errors': [0.9990601362229593, 0.9993216808284336, 0.9993249544934929], 'Sparsity': [1.0, 1.0, 1.0], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [array(0.0177042), array(0.01756338), array(0.01650406)], 'dual_residual': [array(0.00167284), array(0.00200867), array(0.00210551)], 'times': [2.27185610239394, 2.120224096812308, 2.1117377085611224]}",0,COMPLETE
10,10,0.999233094660387,0.11250047219286723,2024-05-20 08:57:58.221666,2024-05-20 08:58:00.783620,0 days 00:00:02.561954,0.8478484361662891,0.001052046911815713,30.465939484569887,20.736449005352824,0.23779594806851362,"{'AUC_ROCs': [0.9994296381328567, 0.9990827250498533, 0.9991869207984513], 'S_relative_errors': [0.11388585587104176, 0.11060170449318271, 0.11301385621437718], 'X_relative_errors': [0.9996941941772901, 0.9997705990868393, 0.999804227229405], 'Sparsity': [1.0, 1.0, 1.0], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [array(0.00540879), array(0.00476477), array(0.00489153)], 'dual_residual': [array(0.00127428), array(0.00109222), array(0.00109618)], 'times': [2.2848012179601938, 2.1110788732767105, 2.1164737150538713]}",0,COMPLETE
11,11,0.9982691331476999,0.9999997331059683,2024-05-20 08:58:00.788382,2024-05-20 08:58:01.558218,0 days 00:00:00.769836,6.2249420791153,9.845819043994162e-05,0.001172890787115501,1.6858397817581523,0.7818412012240865,"{'AUC_ROCs': [0.9980330251898253, 0.9982622851058411, 0.9985120891474331], 'S_relative_errors': [0.9999996571279708, 0.999999659258151, 0.9999998829317835], 'X_relative_errors': [6.1756830835660175, 6.432306766771777, 6.1124649715099], 'Sparsity': [1.0, 1.0, 1.0], 'converged': [1, 1, 1], 'iterations': [30, 30, 32], 'primal_residual': [array(0.0009897), array(0.00097786), array(0.00047774)], 'dual_residual': [array(0.00011783), array(0.00011733), array(1.24290285e-05)], 'times': [0.4853797701653093, 0.45088197849690914, 0.48644664278253913]}",0,COMPLETE
12,12,0.9996635192143266,0.313319501095854,2024-05-20 08:58:01.566993,2024-05-20 08:58:04.050724,0 days 00:00:02.483731,4.110495819197066,1.1267330204510674e-05,99.50320734623438,0.00319608143242283,64.3249563325932,"{'AUC_ROCs': [0.9996670009647417, 0.9996746739158383, 0.9996488827623998], 'S_relative_errors': [0.3143769322103406, 0.31782346448201654, 0.3077581065952048], 'X_relative_errors': [0.9990803083365362, 0.999527737608087, 0.9994994338146644], 'Sparsity': [1.0, 1.0, 1.0], 'converged': [0, 0, 0], 'iterations': [150, 150, 150], 'primal_residual': [array(0.01028546), array(0.00970594), array(0.00999743)], 'dual_residual': [array(0.00319904), array(0.00323367), array(0.00320733)], 'times': [2.2506831539794803, 2.137656557140872, 2.1059219264425337]}",0,COMPLETE
